,ID,gene_assignment,logFC,AveExpr,t,P.Value,adj.P.Val,B
2076,7895836,,-0.164666035,2.139170275,-1.340079877,0.188240674,0.999925768,-4.817824867
2077,7895143,,0.0890455,2.785676671,1.339803748,0.188329634,0.999925768,-4.818136177
2078,7892814,,0.315142557,2.195947676,1.339712251,0.188359118,0.999925768,-4.81823932
2079,8001163, MYLK3 ,-0.042230804,2.392113254,-1.339653231,0.188378139,0.999925768,-4.818305848
2080,8003719, HIC1 ,0.047096326,2.395157955,1.339456446,0.188441569,0.999925768,-4.818527649
2081,7980381, TMED8 ,-0.061102877,2.230067,-1.338917483,0.188615377,0.999925768,-4.819134975
2082,8112174, RNA5SP185 ,-0.028963345,2.959205069,-1.338557497,0.188731536,0.999925768,-4.8195405
2083,8110678, CCDC127 ,0.063335968,2.164661473,1.338446532,0.188767353,0.999925768,-4.819665484
2084,7906374, OR6K6 ,-0.052734882,2.130783827,-1.338315312,0.188809715,0.999925768,-4.819813269
2085,8023968, CDC34 ,-0.053222752,2.379527191,-1.338133151,0.188868533,0.999925768,-4.820018402
2086,8025470, OR7D2 ,-0.051453674,2.358990958,-1.337941962,0.188930282,0.999925768,-4.820233677
2087,8141283, ATP5J2-PTCD1 ,0.06046535,2.371274534,1.337786632,0.188980461,0.999925768,-4.820408555
2088,8143759, ATP6V0E2-AS1 ,0.056265255,2.230503666,1.337641114,0.189027479,0.999925768,-4.820572368
2089,8113008, RNU6-606P ,0.113293403,2.191617016,1.337319294,0.189131494,0.999925768,-4.820934595
2090,7979886, RPL7AP6 ,-0.070218595,2.341729693,-1.337138765,0.189189862,0.999925768,-4.821137756
2091,8151432,,-0.044713534,2.693782416,-1.336918102,0.189261225,0.999925768,-4.821386049
2092,7893727,,0.098350295,2.922684433,1.336871303,0.189276362,0.999925768,-4.821438704
2093,7928529, ZNF503 ,-0.042966524,2.251134616,-1.336638691,0.189351616,0.999925768,-4.821700394
2094,8086683, PRSS42 ,0.029816624,2.599898724,1.336613413,0.189359795,0.999925768,-4.821728829
2095,7928556,,0.099987307,2.008275855,1.336333314,0.189450445,0.999925768,-4.822043883
2096,8097692, EDNRA ,0.069929472,2.168395473,1.335903817,0.18958951,0.999925768,-4.822526864
2097,7981601, MIR8071-1 ,-0.02439316,2.406873487,-1.335497072,0.189721281,0.999925768,-4.822984133
2098,7933469, ARHGAP22 ,-0.062051696,2.240091951,-1.335185929,0.189822127,0.999925768,-4.823333839
2099,7940473, TMEM138 ,-0.055386452,2.278968164,-1.335162922,0.189829586,0.999925768,-4.823359695
2100,8124192,,-0.058714223,2.284877393,-1.335133976,0.18983897,0.999925768,-4.823392224
2101,7974531, RPL13AP3 ,-0.062323873,2.174727273,-1.334920138,0.189908307,0.999925768,-4.823632514
2102,8164701, SETX ,0.055619171,2.266719173,1.334805485,0.189945491,0.999925768,-4.823761336
2103,8137133, KRBA1 ,0.037989619,2.606976943,1.334723789,0.18997199,0.999925768,-4.823853122
2104,8053266, TACR1 ,-0.062758963,2.181761608,-1.334703665,0.189978518,0.999925768,-4.82387573
2105,7923394, ARL8A ,0.039068968,2.455188304,1.33462272,0.190004777,0.999925768,-4.823966667
2106,7972723, ARGLU1 ,0.083548238,2.453740896,1.334552477,0.190027566,0.999925768,-4.824045576
2107,8017597, RPL31P57 ,-0.071921164,2.238215958,-1.334247581,0.190126509,0.999925768,-4.824388044
2108,7947742,,-0.045344739,2.709250604,-1.334236942,0.190129963,0.999925768,-4.824399993
2109,7956018, RDH5 ,-0.040888985,2.392106946,-1.334032442,0.190196349,0.999925768,-4.824629652
2110,8170307, SLITRK2 ,-0.055923182,2.13764026,-1.333435105,0.190390363,0.999925768,-4.825300299
2111,8038299, CGB5 ,-0.032412443,2.624390215,-1.333376834,0.190409297,0.999925768,-4.825365707
2112,8135821, LMOD2 ,0.032656819,2.298566178,1.333321202,0.190427376,0.999925768,-4.82542815
2113,8010624, TSPAN10 ,-0.049563477,2.372452099,-1.333146656,0.190484105,0.999925768,-4.825624052
